problem	evaluations	best value
143	1600 / 1600	1.3986842326450999
144	1600 / 1600	1.9901934346583201
145	1600 / 1600	0.99513104658181806
146	1600 / 1600	1.9903280914020698
147	1600 / 1600	0.99496434286847801
148	1600 / 1600	2.1809383056402201
149	1600 / 1600	1.9901465283862303
150	1600 / 1600	1.9901521257738704
151	1600 / 1600	2.1397281062498497
152	1600 / 1600	1.1731292159994695
153	1600 / 1600	1.0014780959441896
154	1600 / 1600	4.6923959961751089
155	1600 / 1600	1.7652802000422201
156	1600 / 1600	3.6858636809326799
157	1600 / 1600	1.0042077068350501
158	1600 / 1600	3.434665021493799
159	1600 / 1600	2.30343998768085
160	1600 / 1600	4.9759901371466002
161	1600 / 1600	1.9899235624952099
162	1600 / 1600	1.0335001213591
163	1600 / 1600	0.99515400566055201
164	1600 / 1600	2.0032329182199304
165	1600 / 1600	2.8360916371443396
166	1600 / 1600	2.9850272591507103
167	1600 / 1600	1.4733690784983497
168	1600 / 1600	2.9848928086437398
169	1600 / 1600	2.9848781323238094
170	1600 / 1600	0.99601138172420178
171	1600 / 1600	3.31653907625746
172	1600 / 1600	2.0975880748567
173	1600 / 1600	0.31714677091793708
174	1600 / 1600	2.9850509309915099
175	1600 / 1600	2.9852882112842298
176	1600 / 1600	0.9958094463183681
177	1600 / 1600	1.9899210556091194
178	1600 / 1600	0.99995163445917323
179	1600 / 1600	3.9801161429981602
180	1600 / 1600	1.9899232235590196
181	1600 / 1600	0.0022200087971953105
182	1600 / 1600	5.1852936881699607
183	1600 / 1600	1.04035263749285
184	1600 / 1600	1.6890566385541197e-06
185	1600 / 1600	0.99571112212302604
186	1600 / 1600	2.2017204340766598
187	1600 / 1600	4.9752295522011316
188	1600 / 1600	1.4489960376895297
189	1600 / 1600	3.3584053876608695
190	1600 / 1600	4.1279166647524477
191	1600 / 1600	0.0036163419443511211
192	1600 / 1600	3.3796941850572795
193	1600 / 1600	2.5526562332345296e-05
194	1600 / 1600	3.1582626294423699
195	1600 / 1600	0.99684126613736601
196	1600 / 1600	1.0064552716288901
197	1600 / 1600	1.9899846753989696
198	1600 / 1600	1.0097395127425197
199	1600 / 1600	1.0247029083758201
200	2500 / 2500	2.6428030080471303
201	2500 / 2500	2.9849009568862503
202	2500 / 2500	3.0022480394957389
203	2500 / 2500	1.9900760662746599
204	2500 / 2500	1.9900036763115101
205	2500 / 2500	0.99503043052735096
206	2500 / 2500	7.5534672916714802
207	2500 / 2500	0.9952298636108311
208	2500 / 2500	2.9886902957624404
209	2500 / 2500	0.99520709008837804
210	2500 / 2500	1.9899299990151795
211	2500 / 2500	4.7207506544242896
212	2500 / 2500	0.62723892919685698
213	2500 / 2500	4.0005075331210698
