problem	evaluations	best value
142	1600 / 1600	2.9894044380989699
143	1600 / 1600	2.3829345792125505
144	1600 / 1600	0.99579199638861116
145	1600 / 1600	3.00643088338665
146	1600 / 1600	3.46367897208211e-06
147	1600 / 1600	1.0004519578543098
148	1600 / 1600	1.9899264437593596
149	1600 / 1600	1.9224113466616599
150	1600 / 1600	0.48238611058634706
151	1600 / 1600	1.9945253914128898
152	1600 / 1600	2.9879814877277306
153	1600 / 1600	2.69796582227369
154	1600 / 1600	0.033249959551120908
155	1600 / 1600	0.99496675359827702
156	1600 / 1600	0.99499893168805209
157	1600 / 1600	2.0104550144646791
158	1600 / 1600	0.99496475169300402
159	1600 / 1600	2.4983919991731698
160	1600 / 1600	1.9899756009851999
161	1600 / 1600	1.7552141481477201
162	1600 / 1600	3.9991593943056394
163	1600 / 1600	9.8796327883121621e-05
164	1600 / 1600	3.4568270407713704
165	1600 / 1600	0.00019181324383055206
166	1600 / 1600	2.02655926762024
167	1600 / 1600	2.9849448406176204
168	1600 / 1600	1.9922261200599498
169	1600 / 1600	1.9927421652689601
170	1600 / 1600	2.1027372500623311
171	1600 / 1600	1.0071704762312901
172	1600 / 1600	0.99506495677707096
173	1600 / 1600	2.6856175687675807
174	1600 / 1600	1.2910191032025
175	1600 / 1600	7.5491551548508902
176	1600 / 1600	5.0646919834597304
177	1600 / 1600	1.9899275727847898
178	1600 / 1600	1.0328977560607799
179	1600 / 1600	0.99674838607608507
180	1600 / 1600	1.0019487004103598
181	1600 / 1600	0.99531510340388307
182	1600 / 1600	1.1509792152253299e-05
183	1600 / 1600	0.38268208340490212
184	1600 / 1600	2.9851608727503605
185	1600 / 1600	0.99506832610515494
186	1600 / 1600	0.9964919828577119
187	1600 / 1600	4.4261890260355994
188	1600 / 1600	3.2188138536834501
189	1600 / 1600	1.0143256922764197
190	1600 / 1600	0.13783707293370598
191	1600 / 1600	5.9810731868174907
192	1600 / 1600	1.9901330051855999
193	1600 / 1600	1.9900520303647802
194	1600 / 1600	2.9854740241196498
195	1600 / 1600	1.9899264436647797
196	1600 / 1600	1.99964039482175
197	1600 / 1600	0.99549108925251095
198	1600 / 1600	2.2744583258694697
199	1600 / 1600	0.99508711217179502
200	2500 / 2500	11.939500591277501
201	2500 / 2500	2.0237668433351903
202	2500 / 2500	2.9920886673365197
203	2500 / 2500	2.9850075224786199
204	2500 / 2500	1.9943041891295199
205	2500 / 2500	5.6233294017542903
206	2500 / 2500	0.99500404848085799
207	2500 / 2500	2.0170954064943101
208	2500 / 2500	3.1950374748472101
209	2500 / 2500	1.9899358721329896
210	2500 / 2500	2.7865791814995999
211	2500 / 2500	1.1573216300187898
212	2500 / 2500	1.9899373288179398
213	2500 / 2500	3.1647472017918603
214	2500 / 2500	1.2337736900760796
215	2500 / 2500	0.99499260910074094
216	2500 / 2500	0.00065444099668354717
217	2500 / 2500	0.99495939237587516
218	2500 / 2500	2.9848786842118593
219	2500 / 2500	0.0018790524741518803
220	2500 / 2500	0.0044550396912796907
221	2500 / 2500	1.9899610202380498
222	2500 / 2500	1.9934483837720998
223	2500 / 2500	0.99827026504348004
224	2500 / 2500	3.9798635943695992
225	2500 / 2500	4.3708936248836618
226	2500 / 2500	1.9899981944712
227	2500 / 2500	0.99517195524556701
228	2500 / 2500	1.9908383820988098
229	2500 / 2500	1.9899313874539595
230	2500 / 2500	2.4542279170293
231	2500 / 2500	0.017983816009042603
232	2500 / 2500	2.2176040386020803
233	2500 / 2500	1.9899182356112
234	2500 / 2500	2.98548909834585
235	2500 / 2500	5.1385098670745695
236	2500 / 2500	0.99610134848498399
237	2500 / 2500	2.9858625427602101
238	2500 / 2500	0.99500952829571099
239	2500 / 2500	1.9899370141014499
240	2500 / 2500	1.9899188673754198
241	2500 / 2500	2.9848774738753101
242	2500 / 2500	1.9899182530311497
243	2500 / 2500	6.9647320972387892
244	2500 / 2500	9.3002242813611206e-05
245	2500 / 2500	2.7638469445375002
246	2500 / 2500	4.3093850821052495
247	2500 / 2500	0.034357251223610816
248	2500 / 2500	2.7176147725484605
249	2500 / 2500	0.99519334326600295
250	2500 / 2500	3.6283092155578904
251	2500 / 2500	2.0101789302628696
252	2500 / 2500	3.9519046701741397e-05
253	2500 / 2500	1.9980464390960402
254	2500 / 2500	0.9950665629781239
255	2500 / 2500	2.9849114880735304
256	2500 / 2500	0.99527965720708511
257	2500 / 2500	2.98513045368838
258	2500 / 2500	2.7408850669985403e-05
259	2500 / 2500	0.99505560496053402
260	2500 / 2500	1.9947525811252802
261	2500 / 2500	7.9096344601773403
262	2500 / 2500	2.9848950900676199
263	2500 / 2500	0.99496005222108908
264	2500 / 2500	3.9798444730917693
265	2500 / 2500	0.99567402807981908
266	2500 / 2500	0.99657503817515902
267	2500 / 2500	0.99500402332503801
268	2500 / 2500	0.99496199114302197
269	2500 / 2500	1.1234897056942599
270	2500 / 2500	7.4897895990526413
271	2500 / 2500	1.9955259898878099
272	2500 / 2500	3.9798482675821796
273	2500 / 2500	5.9697530013642313
274	2500 / 2500	0.99821051061039201
275	2500 / 2500	0.99495981638994413
276	2500 / 2500	0.99501772481001882
277	2500 / 2500	3.9268041758830696
278	2500 / 2500	2.2090856157415
279	2500 / 2500	1.9913725920378798
280	2500 / 2500	3.9823598418343003
281	2500 / 2500	0.99496030813367797
282	2500 / 2500	2.9848826520817
283	2500 / 2500	1.9904668423942597
284	2500 / 2500	0.99496246596334681
285	2500 / 2500	3.3894700070595398
286	2500 / 2500	0.99503183366611114
