"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25"
"13",1.03315755950462e-08,8.10325673228363e-09,9.16543285711668e-09,1.36424205265939e-12,0.000195775566680823,1.113124881158e-08,4696.2886274805,20.9970210589911,6.96471340307397,5.96975472299727,0.0054236332392037,477.039813479735,2.66729712344684,12.0073202711276,300.009632533784,15.8292530438187,30.1726935241977,903.361614141344,908.915731088419,906.801425099661,500.000046805146,871.873942307294,534.164867408682,200.000000005621,1591.15197802659
"14",6.03603211857262e-09,7.88861598266521e-09,5.36658717464888e-09,9.09494701772928e-13,0.000193768326425925,0.00724122565537755,4696.28862604019,20.769893111739,3.97983623361802,1.98991811971467,0.0044952135511096,2339.15481228568,2.50796516862168,11.5606004444669,300.010484586859,17.1619318917412,432.368346975959,903.959478818839,905.735283841125,904.639553643905,500.000046809156,813.339527970376,534.164867499894,200.000000005408,1601.01809898244
"15",7.038863714115e-09,9.87301973509602e-09,6.03506578045199e-09,7.95807864051312e-13,0.000202859215278295,9.01638941286365e-09,4696.28862632186,20.9364335358491,4.97479528613678,3.97983649686779,0.00525708762042143,59.5718485053779,0.592656320876472,11.4975057120978,300.009940726515,110.019082230722,24.9514485365418,908.47187133817,908.342136190647,906.338586411051,500.000046806324,768.175485172721,534.164867551335,200.000000006759,1593.54704249633
"16",5.06514652443002e-09,8.22706169856247e-09,7.89151499702712e-09,1.36424205265939e-12,0.000212476094020531,1.4370925782714e-08,4696.28862695781,20.9205912884127,5.96975434266921,2.98487740712767,0.00532361223919509,1070.2500940626,1.47367900145125,11.7687246055237,300.010568814776,25.316600655392,431.030588817447,903.980835936955,905.563397439608,903.661262520326,500.00004680649,844.287842079819,534.164867525977,200.000000005455,1600.22032067986
"17",1.03197521639231e-08,1.13606688501022e-08,5.52165602130117e-09,1.13686837721616e-12,0.000213964918657439,0.0263511808853991,4696.28864437058,20.8982126770577,4.97479529572513,2.98487718091718,0.00555790480345308,4736.8020464235,1.81113048689372,11.3699039529915,300.009658877164,4.82322118482719,28.322439271395,800.00000001129,908.302419726563,905.673867190175,500.000046805725,746.169006004927,534.164867399389,200.000000010469,1599.42872438063
"18",8.07091282695183e-09,9.00547547644237e-09,1.06221591522626e-08,1.53477230924182e-12,0.000210775131563423,0.629388727074229,4696.28862563093,20.9850050665182,5.9697543430936,1.9899192653092,0.00393335245493631,9.83959580480587e-09,2.07807301357758,11.9501731662435,300.010271342468,10.947247022241,431.480391538754,906.693063991126,904.332641196752,905.990217643754,500.000046808733,881.667851203291,534.164867376657,200.000000008052,1592.06371168683
"19",7.21109927326324e-09,4.85880491396529e-09,4.62421212432673e-09,8.5265128291212e-13,0.000211963713809382,0.00244976874000713,4696.28884930529,20.9297530390862,2.98487717136669,5.96975435182412,0.00532155219764263,3382.20402574293,1.11701077141566,11.2899323387454,300.010394769331,19.2770717616759,539.994367076069,903.598717487326,904.293165276841,901.637203309507,500.000046809768,876.948820866253,534.164867431251,200.000000008648,1599.29167944997
"20",1.02000399238023e-08,7.59138174544205e-09,9.07914454728598e-09,2.1600499167107e-12,0.000197066008695401,0.000326064174316798,4696.2886907544,20.9350534588217,5.9697543426966,2.98487850837512,0.00524969182029622,2301.84151339293,1.83046808868107,11.6759529083845,300.010183742185,107.410667745275,430.588527736074,903.834842497672,908.976240703493,904.55501924356,500.000046807182,792.549634691751,534.164867396615,200.000000003757,1601.00907157388
"21",6.92602952767629e-09,5.5615032579226e-09,6.7059886532661e-09,7.95807864051312e-13,0.000202956325665582,7.26856796973152e-09,4696.28862588523,20.9540980454328,8.95463151427634,3.97983623962239,0.00494908365905644,4923.33134176448,2.5256952561982,11.9141895549027,300.009549120553,18.4461674772868,15.2159361965446,906.058274818372,900.11571715646,903.705366340868,500.00004680587,884.502844986462,534.164430693358,200.000000007855,1602.7565540363
"22",6.00419980401057e-09,8.33932745081256e-09,7.72683961258736e-09,9.66338120633736e-13,0.000214561909160693,0.550117605796459,4696.28886269946,20.9399845807195,4.974795285499,2.9848772088298,0.00533457898301037,1654.73693760673,2.4243881572777,11.8185627712032,300.010538595714,13.8864856621936,538.880094371518,909.187796782264,903.258147977783,902.587880753742,500.000046805366,777.186613078758,534.164867456088,200.000000011657,1597.8532066096
"23",5.99857230554335e-09,8.2270048551436e-09,6.97843915986596e-09,8.5265128291212e-13,0.000200044731172966,1.48984253200979e-06,4696.28862702482,20.9945005126322,4.97479529457576,1.05870867628255e-09,0.00541643684556448,6.50271658741985e-09,2.77242226666952,11.8890024365286,300.010490998535,20.160899512426,26.9035252257003,903.636070144521,906.200804597295,908.703754727467,500.000046809727,889.705677997113,534.164867388328,200.000000006676,1598.774903238
"24",5.88846660320996e-09,8.82766926224576e-09,8.33574631542433e-09,9.66338120633736e-13,0.000190897117136046,1.10750875137455e-08,4696.28887730797,21.0100831829096,5.96975434271945,3.97983624121275,0.00496941709303655,3.71841224477976e-09,2.01068238731229,11.264673104035,300.010411721534,7.92834119330442,25.9071623077481,905.953801077819,906.647390230212,908.524797496648,500.000046805755,866.587367121586,534.164867382207,200.000000004654,1591.58832428281
"25",8.6934619503154e-09,5.66080871067243e-09,1.28810597743723e-08,9.66338120633736e-13,0.000206527856789762,0.316397356498499,4696.28863836569,20.9681594897569,5.96975434991811,1.98991812305985,0.00547313452439369,5058.41199864609,2.12612115985982,12.0775516435031,300.010615950573,14.9360123666578,540.563641116096,903.530012675426,800.000000008535,906.398609950999,500.000046803712,881.492908038039,534.164867400966,200.000000007007,1596.54985148329
"26",7.82904407969909e-09,9.55913037614664e-09,1.00863530860806e-08,1.30739863379858e-12,0.000208085861231666,0.102394332450388,4696.28863045787,20.9807187849443,5.96975435170185,3.97983623652379,0.00509060350933055,4289.7068657134,1.87639192169755,12.1006417066008,300.010473847164,11.6047395276296,539.59618628581,903.459078892435,908.954177215354,905.906317415443,500.000046805425,833.837738343958,534.164867754235,200.00000000811,1595.63707970871
"27",9.20579168450786e-09,6.25050233793445e-09,8.78185346664395e-09,8.5265128291212e-13,0.000206952339794952,7.21365722711198e-09,4696.28862625294,20.9970186692619,4.97479528558193,7.95967264736805,0.0046500794685187,1462.88340172663,2.11509890515264,11.5076354138183,300.010296419141,22.5193206597764,16.5538449567247,908.311437845738,903.489379692105,904.171392871927,500.000046805001,884.709183271578,534.164867398919,200.000000008539,1598.87396084511
"28",1.43782585837471e-08,8.4815496848023e-09,8.87473561306251e-09,1.02318153949454e-12,0.000193922118342016,1.20032575183222,4696.28862639787,20.9176462519603,3.9798362284875,4.97479529440506,0.00547475093058836,2060.20526664556,2.34398030324158,11.2725708637443,300.008966788032,19.9129541601537,539.27602896369,908.381589801079,800.000000007271,905.973341543016,500.000046808284,837.266487916568,534.164867387102,200.000000012866,1598.42391408493
"29",1.08483959593286e-08,7.41988515073899e-09,6.92682533554034e-09,1.4210854715202e-12,0.000203410418180283,1.33032681451277,4696.28862686715,20.9250180667913,5.9697543511997,2.98487728489727,0.00559279202965968,0.772718520634385,1.27491889197879,11.6028819373226,300.011067781787,13.5913556812729,14.2651351859489,903.633279941594,800.000000007072,906.188853522686,500.000046805137,854.195015450755,534.164867413953,200.000000005914,1594.27253981849
"30",1.48094727592252e-08,9.24455889617093e-09,6.73213662594208e-09,1.93267624126747e-12,0.000211513637623284,7.99809640739113e-09,4696.2886353121,20.9466214149799,10.9445496295764,3.979836478891,0.00496872516325197,3382.20404022175,2.87682649209385,11.9089523094298,300.009543757652,18.819748901478,18.5622341415729,903.722542096629,905.433783258306,904.724921691958,500.000046805808,827.428622641957,534.164491885307,200.000000008283,1601.17822832731
